"ID","round","phase","OB_1","OB_2","OB_3","OB_4","AS_1","AS_2","AS_3","AS_4","dwmean_1","dwmean_2","dwmean_3","dwmean_4","RT_1","RT_2","RT_3","RT_4","payoff","accuracy","performance","novelty","type","afterbreak","breakR"
"H1251",15,"30",19,17,10,17,56,27,15,24,0.26659649122807,0.274142857142857,0.3226875,0.2846,16.707,8.565,6.037,8.54315300323069,5.25,0.5,21,"1","H",1,7
"H1251",16,"31",5,18,14,10,8,33,18,14,0.308444444444444,0.248705882352941,0.252105263157895,0.1622,3.619,12.138,5.615,4.54,3,1,36,"1","H",1,7
"H1251",16,"32",14,3,4,10,25,2,3,12,0.173384615384615,0.234,0.1755,0.207615384615385,4.852,1.513,1.263,2.88315300323069,2,1,24,"1","H",1,7
"H1307",1,"1",20,8,13,8,145,18,19,8,0.185739726027397,0.284052631578947,0.30495,0.190777777777778,76.035,9.625,8.237,5.88196363043785,4.25,0,17,"0","H",0,8
"H1307",1,"2",15,2,10,8,22,1,10,10,0.320173913043478,0.5225,0.324727272727273,0.25681487549435,9.126,1.576,5.881,3.86996363043785,5,1,60,"0","H",0,8
"H1307",2,"3",16,4,15,5,32,4,25,7,0.206030303030303,0.159,0.144615384615385,0.46225,7.394,1.529,4.134,5.33796363043785,2.25,0.5,9,"0","H",0,8
"H1307",2,"4",20,3,15,11,53,2,24,21,0.22387037037037,0.254666666666667,0.24636,0.250771074110811,14.851,0.889,8.127,11.6169636304379,2.5,0.5,10,"0","H",0,8
"H1307",3,"5",13,10,2,18,21,10,1,24,0.216954545454545,0.221090909090909,0.382,0.243918545217514,19.127,4.07,2.028,7.09596363043785,4.5,0,18,"0","H",0,8
"H1307",3,"6",18,7,15,9,38,9,20,16,0.218410256410256,0.1934,0.299619047619048,0.321233154731638,9.157,2.527,7.105,9.03196363043785,4.75,0,19,"0","H",0,8
"H1307",4,"7",7,12,12,6,8,22,17,7,0.282666666666667,0.295130434782609,0.316222222222222,0.412620453804731,2.871,7.396,6.956,4.28396363043785,4.75,0,19,"0","H",0,8
"H1307",4,"8",13,11,8,17,27,10,8,29,0.210607142857143,0.323545454545455,0.201,0.286265454347928,6.661,5.165,2.261,10.6949636304379,3.75,0,15,"0","H",0,8
"H1307",5,"9",17,20,19,20,25,100,24,75,0.198576923076923,0.216861386138614,0.28516,0.353039473684211,6.427,38.376,8.003,29.8689636304379,3,1,36,"0","H",0,8
"H1307",5,"10",16,2,2,20,41,1,1,59,0.1445,0.234,0.4445,0.257633333333333,8.737,0.468,1.95,17.0899636304379,2.5,0.5,10,"0","H",0,8
"H1307",6,"11",20,15,5,11,93,33,6,15,0.19681914893617,0.190794117647059,0.220714285714286,0.342372726902366,19.157,7.347,2.777,8.25496363043785,5.25,0,21,"0","H",0,8
"H1307",6,"12",16,2,4,3,40,1,3,2,0.244243902439024,0.2495,0.19125,0.23332121014595,11.029,0.936,1.794,1.13696363043785,2,1,24,"0","H",0,8
"H1307",7,"13",18,3,2,2,45,2,1,1,0.175695652173913,0.203,0.148,0.184481815218926,8.487,1.17,1.232,0.368963630437851,2,1,24,"0","H",0,8
"H1307",7,"14",20,5,4,3,52,6,3,3,0.258169811320755,0.158285714285714,0.24575,0.359740907609463,14.321,1.529,1.747,2.28096363043785,2.25,0.5,9,"0","H",0,8
"H1307",8,"15",19,1,15,12,64,0,21,21,0.209246153846154,0.517,0.246818181818182,0.265543801383539,14.757,1.703,8.25,6.48096363043785,5.5,0.5,22,"1","H",1,8
